date,history_id,status,area,claim,evidence,next_step,refs
2026-06-19,328,done,retrieval,"Core answerer-aware retrieval profiles landed: compact and broad.","RetrievalFlags gained context_budget; SEAM_RETRIEVAL_PROFILE=compact|broad reaches core surfaces and benchmark adapter; suite green.","Wire profile knobs into the self-improvement loop; run SEAM broad vs mem0 head-to-head.",seam_runtime/retrieval.py
2026-06-19,327,done,benchmark,"OpenAI judge path fixed for gpt-5.4+ reasoning_effort compatibility.","OpenAIJudge moved from hardcoded minimal to env-driven default low at both score and batch request sites; tests added.","Holdout-validate and productize capable-answerer retrieval profile.",benchmarks/external/common/judge.py
2026-06-18,326,done,webui,"Repository now has one canonical running WebUI location.","seam_runtime/webui/dashboard.html is served by seam webui; stale Vite source archived; strays deleted; server health verified.","Continue dashboard hardening without reviving duplicate webui roots.",docs/CODE_LAYOUT.md
2026-06-18,325,done,calibration,"Calibration scorer operationalized epistemic abstention policy and exposed dropped adversarial cases.","load_locomo_cases include_unanswerable=True recovers 444 cat5 adversarial cases; qwen trap-failure rate measured.","Capture adversarial_answer and run pooled multi-scope calibration.",benchmarks/external/locomo/calibration_scorer.py
2026-06-17,324,done,hygiene,"seam doctor now reports git stashes as a non-blocking advisory.","check_stashes parses stash list and CLI renders advisory without flipping overall doctor status.","Use seam doctor in hygiene sweeps; do not make stashes a blocking commit gate.",seam_runtime/doctor.py
2026-06-15,323,done,retrieval,"Retrieval-time entity aggregation tested and kept default-off because answer-quality gains were marginal.","Free deterministic answerer A/B showed hardened lever about +0.0055 on cat1, within noise floor.","Move toward ingest/coreference or entity-aggregation dossier packing rather than string-match retrieval hacks.",docs/audits/2026-06-15-entity-aggregation-retrieval.md
2026-06-15,322,done,test,"Tracked test docs and disposable generated test outputs now have fixed homes.","tests/docs/ added; 80 ignored test_pgvector_* sidecars moved under test_seam/pgvector/.","Keep test notes under tests/docs/ and generated artifacts under test_seam/<area>/.",tests/docs/README.md
2026-06-15,321,done,benchmark,"Answerer ladder showed cat1 is not solved by stronger answerers alone.","gpt-4o and o4-mini reached 0.595 overall but cat1 stayed roughly 0.44-0.48.","Build cross-turn entity coreference plus aggregation retrieval after cheap validation.",benchmarks/external/locomo/adapters/seam.py
2026-06-15,320,done,retrieval,"LoCoMo retrieval budget knee established at top_k=100 and context budget=8000 for gpt-4o-mini baseline.","Four paid knee runs separated from baseline by about +0.14; 200/20000 flattened.","Treat search_top_k as config knob, not self-improvement candidate lever.",seam_runtime/retrieval.py

